parquet_column,parquet_type,app_equivalent,human_alias,app_type,code_map
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é irmão ou irmã,BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é avô ou avó,BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é outro parente,BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é agregado(a),BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é convivente,BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é pensionista,BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é empregado(a) doméstico(a),BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é parente do(a) empregado(a) doméstico(a),BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é individual em domicílio coletivo,BIGINT,,,,
"Pessoa responsável pelo domicílio, Sexo masculino",BIGINT,,,,
"Pessoa responsável pelo domicílio, Sexo feminino",BIGINT,,,,
"Pessoa responsável pelo domicílio, 12 a 17 anos",BIGINT,,,,
"Pessoa responsável pelo domicílio, 18 a 24 anos",BIGINT,,,,
"Pessoa responsável pelo domicílio, 25 a 39 anos",BIGINT,,,,
"Pessoa responsável pelo domicílio, 40 a 59 anos",BIGINT,,,,
"Pessoa responsável pelo domicílio, 60 anos ou mais",BIGINT,,,,
"Cônjuges ou companheiros(as) de sexo diferente ou cônjuges ou companheiros(as) do mesmo sexo, 10 a 14 anos",BIGINT,,,,
"Cônjuges ou companheiros(as) de sexo diferente ou cônjuges ou companheiros(as) do mesmo sexo, 15 a 19 anos",BIGINT,,,,
"Cônjuges ou companheiros(as) de sexo diferente ou cônjuges ou companheiros(as) do mesmo sexo, 20 a 24 anos",BIGINT,,,,
"Cônjuges ou companheiros(as) de sexo diferente ou cônjuges ou companheiros(as) do mesmo sexo, 25 a 29 anos",BIGINT,,,,
"Cônjuges ou companheiros(as) de sexo diferente ou cônjuges ou companheiros(as) do mesmo sexo, 30 a 34 anos",BIGINT,,,,
"Cônjuges ou companheiros(as) de sexo diferente ou cônjuges ou companheiros(as) do mesmo sexo, 35 a 39 anos",BIGINT,,,,
"Cônjuges ou companheiros(as) de sexo diferente ou cônjuges ou companheiros(as) do mesmo sexo, 40 a 44 anos",BIGINT,,,,
"Cônjuges ou companheiros(as) de sexo diferente ou cônjuges ou companheiros(as) do mesmo sexo, 45 a 49 anos",BIGINT,,,,
"Cônjuges ou companheiros(as) de sexo diferente ou cônjuges ou companheiros(as) do mesmo sexo, 50 a 54 anos",BIGINT,,,,
"Cônjuges ou companheiros(as) de sexo diferente ou cônjuges ou companheiros(as) do mesmo sexo, 55 a 59 anos",BIGINT,,,,
"Cônjuges ou companheiros(as) de sexo diferente ou cônjuges ou companheiros(as) do mesmo sexo, 60 a 64 anos",BIGINT,,,,
"Cônjuges ou companheiros(as) de sexo diferente ou cônjuges ou companheiros(as) do mesmo sexo, 65 a 69 anos",BIGINT,,,,
"Cônjuges ou companheiros(as) de sexo diferente ou cônjuges ou companheiros(as) do mesmo sexo, 70 a 74 anos",BIGINT,,,,
"Cônjuges ou companheiros(as) de sexo diferente ou cônjuges ou companheiros(as) do mesmo sexo, 75 a 79 anos",BIGINT,,,,
"Cônjuges ou companheiros(as) de sexo diferente ou cônjuges ou companheiros(as) do mesmo sexo, 80 anos ou mais",BIGINT,,,,
"Filhos(as) do responsável e do cônjuge, 0 a 4 anos",BIGINT,,,,
"Filhos(as) do responsável e do cônjuge, 5 a 9 anos",BIGINT,,,,
"Filhos(as) do responsável e do cônjuge, 10 a 14 anos",BIGINT,,,,
"Filhos(as) do responsável e do cônjuge, 15 a 19 anos",BIGINT,,,,
"Filhos(as) do responsável e do cônjuge, 20 a 24 anos",BIGINT,,,,
"Filhos(as) do responsável e do cônjuge, 25 a 29 anos",BIGINT,,,,
"Filhos(as) do responsável e do cônjuge, 30 a 39 anos",BIGINT,,,,
"Filhos(as) do responsável e do cônjuge, 40 a 49 anos",BIGINT,,,,
"Filhos(as) do responsável e do cônjuge, 50 a 59 anos",BIGINT,,,,
"Filhos(as) do responsável e do cônjuge, 60 a 69 anos",BIGINT,,,,
"Filhos(as) do responsável e do cônjuge, 70 anos ou mais",BIGINT,,,,
"Enteados(as), 0 a 4 anos",BIGINT,,,,
"Enteados(as), 5 a 9 anos",BIGINT,,,,
"Enteados(as), 10 a 14 anos",BIGINT,,,,
"Enteados(as), 15 a 19 anos",BIGINT,,,,
"Enteados(as), 20 a 24 anos",BIGINT,,,,
"Enteados(as), 25 a 29 anos",BIGINT,,,,
"Enteados(as), 30 a 34 anos",BIGINT,,,,
"Enteados(as), 35 a 39 anos",BIGINT,,,,
"Enteados(as), 40 a 44 anos",BIGINT,,,,
"Enteados(as), 45 a 49 anos",BIGINT,,,,
"Enteados(as), 50 anos ou mais",BIGINT,,,,
"Genro ou nora, 0 a 4 anos",BIGINT,,,,
"Genro ou nora, 5 a 9 anos",BIGINT,,,,
"Genro ou nora, 10 a 14 anos",BIGINT,,,,
"Genro ou nora, 15 a 19 anos",BIGINT,,,,
"Genro ou nora, 20 a 24 anos",BIGINT,,,,
"Genro ou nora, 25 a 29 anos",BIGINT,,,,
"Genro ou nora, 30 a 34 anos",BIGINT,,,,
"Genro ou nora, 35 a 39 anos",BIGINT,,,,
"Genro ou nora, 40 a 44 anos",BIGINT,,,,
"Genro ou nora, 45 a 49 anos",BIGINT,,,,
"Genro ou nora, 50 anos ou mais",BIGINT,,,,
"Pai, mãe, padrasto ou madrasta, 20 a 24 anos",BIGINT,,,,
"Pai, mãe, padrasto ou madrasta, 25 a 29 anos",BIGINT,,,,
"Pai, mãe, padrasto ou madrasta, 30 a 34 anos",BIGINT,,,,
"Pai, mãe, padrasto ou madrasta, 35 a 39 anos",BIGINT,,,,
"Pai, mãe, padrasto ou madrasta, 40 a 44 anos",BIGINT,,,,
"Pai, mãe, padrasto ou madrasta, 45 a 49 anos",BIGINT,,,,
"Pai, mãe, padrasto ou madrasta, 50 a 54 anos",BIGINT,,,,
"Pai, mãe, padrasto ou madrasta, 55 a 59 anos",BIGINT,,,,
"Pai, mãe, padrasto ou madrasta, 60 a 64 anos",BIGINT,,,,
"Pai, mãe, padrasto ou madrasta, 65 a 69 anos",BIGINT,,,,
"Pai, mãe, padrasto ou madrasta, 70 a 74 anos",BIGINT,,,,
"Pai, mãe, padrasto ou madrasta, 75 a 79 anos",BIGINT,,,,
"Pai, mãe, padrasto ou madrasta, 80 anos ou mais",BIGINT,,,,
"Sogro(a), 20 a 24 anos",BIGINT,,,,
"Sogro(a), 25 a 29 anos",BIGINT,,,,
"Sogro(a), 30 a 34 anos",BIGINT,,,,
"Sogro(a), 35 a 39 anos",BIGINT,,,,
"Sogro(a), 40 a 44 anos",BIGINT,,,,
"Sogro(a), 45 a 49 anos",BIGINT,,,,
"Sogro(a), 50 a 54 anos",BIGINT,,,,
"Sogro(a), 55 a 59 anos",BIGINT,,,,
"Sogro(a), 60 a 64 anos",BIGINT,,,,
"Sogro(a), 65 a 69 anos",BIGINT,,,,
"Sogro(a), 70 a 74 anos",BIGINT,,,,
"Sogro(a), 75 a 79 anos",BIGINT,,,,
"Sogro(a), 80 anos ou mais",BIGINT,,,,
"Neto(a), 0 a 4 anos",BIGINT,,,,
"Neto(a), 5 a 9 anos",BIGINT,,,,
"Neto(a), 10 a 14 anos",BIGINT,,,,
"Neto(a), 15 a 19 anos",BIGINT,,,,
"Neto(a), 20 a 24 anos",BIGINT,,,,
"Neto(a), 25 a 29 anos",BIGINT,,,,
"Neto(a), 30 a 34 anos",BIGINT,,,,
"Neto(a), 35 a 39 anos",BIGINT,,,,
"Neto(a), 40 a 44 anos",BIGINT,,,,
"Neto(a), 45 a 49 anos",BIGINT,,,,
"Neto(a), 50 anos ou mais",BIGINT,,,,
"Bisneto(a), 0 a 4 anos",BIGINT,,,,
"Bisneto(a), 5 a 9 anos",BIGINT,,,,
"Bisneto(a), 10 a 14 anos",BIGINT,,,,
"Bisneto(a), 15 a 19 anos",BIGINT,,,,
"Bisneto(a), 20 a 24 anos",BIGINT,,,,
"Bisneto(a), 25 a 29 anos",BIGINT,,,,
"Bisneto(a), 30 a 34 anos",BIGINT,,,,
"Bisneto(a), 35 a 39 anos",BIGINT,,,,
"Bisneto(a), 40 a 44 anos",BIGINT,,,,
"Bisneto(a), 45 a 49 anos",BIGINT,,,,
"Bisneto(a), 50 anos ou mais",BIGINT,,,,
"Irmão ou irmã, 0 a 4 anos",BIGINT,,,,
"Irmão ou irmã, 5 a 9 anos",BIGINT,,,,
"Irmão ou irmã, 10 a 14 anos",BIGINT,,,,
"Irmão ou irmã, 15 a 19 anos",BIGINT,,,,
"Irmão ou irmã, 20 a 24 anos",BIGINT,,,,
"Irmão ou irmã, 25 a 29 anos",BIGINT,,,,
"Irmão ou irmã, 30 a 34 anos",BIGINT,,,,
"Irmão ou irmã, 35 a 39 anos",BIGINT,,,,
"Irmão ou irmã, 40 a 44 anos",BIGINT,,,,
"Irmão ou irmã, 45 a 49 anos",BIGINT,,,,
"Irmão ou irmã, 50 anos ou mais",BIGINT,,,,
Domicílio com pelo menos um cônjuge de sexo diferente e nenhum do mesmo sexo,BIGINT,,,,
Domicílio com pelo menos um cônjuge do mesmo sexo e nenhum de sexo diferente,BIGINT,,,,
Domicílio com pelo menos um cônjuge de sexo diferente e pelo menos um do mesmo sexo,BIGINT,,,,
Domicílio sem cônjuge,BIGINT,,,,
Unidade em Domicílio Coletivo Com Morador,BIGINT,,,,
"Domicílio com pelo menos um cônjuge de sexo diferente e nenhum do mesmo sexo, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Domicílio com pelo menos um cônjuge de sexo diferente e nenhum do mesmo sexo, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Domicílio com pelo menos um cônjuge do mesmo sexo e nenhum de sexo diferente, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Domicílio com pelo menos um cônjuge do mesmo sexo e nenhum de sexo diferente, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Domicílio com pelo menos um cônjuge de sexo diferente e pelo menos um do mesmo sexo, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Domicílio com pelo menos um cônjuge de sexo diferente e pelo menos um do mesmo sexo, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Domicílio sem cônjuge, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Domicílio sem cônjuge, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Unidade em Domicílio Coletivo Com Morador, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Unidade em Domicílio Coletivo Com Morador, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
Domicílio com responsável e cônjuge(s) sem filhos,BIGINT,,,,
Domicílio com responsável e cônjuge com filho de ambos somente,BIGINT,,,,
Domicílio com responsável e cônjuge(s) com pelo menos um filho somente do responsável ou somente de um(a) cônjuge,BIGINT,,,,
Domicílio com responsável sem cônjuge com filho(s) e/ou enteado(s),BIGINT,,,,
Domicílio com outros tipos de composição,BIGINT,,,,
Unidade em Domicílio Coletivo Com Morador_1,BIGINT,,,,
"Domicílio com responsável e cônjuge(s) sem filhos, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Domicílio com responsável e cônjuge(s) sem filhos, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Domicílio com responsável e cônjuge com filho de ambos somente, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Domicílio com responsável e cônjuge com filho de ambos somente, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Domicílio com responsável e cônjuge(s) com pelo menos um filho somente do responsável ou somente de um(a) cônjuge, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Domicílio com responsável e cônjuge(s) com pelo menos um filho somente do responsável ou somente de um(a) cônjuge, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Domicílio com responsável sem cônjuge com filho(s) e/ou enteado(s), Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Domicílio com responsável sem cônjuge com filho(s) e/ou enteado(s), Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Domicílio com outros tipos de composição, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Domicílio com outros tipos de composição, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Unidade em Domicílio Coletivo Com Morador, Sexo da pessoa responsável pelo domicílio é masculino_1",BIGINT,,,,
"Unidade em Domicílio Coletivo Com Morador, Sexo da pessoa responsável pelo domicílio é feminino_1",BIGINT,,,,
Espécie de unidade doméstica é unipessoal,BIGINT,,,,
Espécie de unidade doméstica é nuclear,BIGINT,,,,
Espécie de unidade doméstica é estendida,BIGINT,,,,
Espécie de unidade doméstica é composta,BIGINT,,,,
Espécie de unidade doméstica é unidade em Domicílio Coletivo Com Morador,BIGINT,,,,
"Espécie de unidade doméstica é unipessoal, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Espécie de unidade doméstica é unipessoal, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Espécie de unidade doméstica é nuclear, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Espécie de unidade doméstica é nuclear, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Espécie de unidade doméstica é estendida, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Espécie de unidade doméstica é estendida, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Espécie de unidade doméstica é composta, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Espécie de unidade doméstica é composta, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Espécie de unidade doméstica é unidade em Domicílio Coletivo Com Morador, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Espécie de unidade doméstica é unidade em Domicílio Coletivo Com Morador, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Existe pessoa falecida, no período de janeiro de 2019 a julho de 2022, que morava no domicílio",BIGINT,,,,
"Não existe pessoa falecida, no período de janeiro de 2019 a julho de 2022, que morava no domicílio",BIGINT,,,,
Sexo da pessoa falecida é masculino,BIGINT,,,,
Sexo da pessoa falecida é feminino,BIGINT,,,,
"Sexo da pessoa falecida é masculino, Idade em anos ao falecer é 0 a 4 anos",BIGINT,,,,
"Sexo da pessoa falecida é masculino, Idade em anos ao falecer é 5 a 9 anos",BIGINT,,,,
"Sexo da pessoa falecida é masculino, Idade em anos ao falecer é 10 a 14 anos",BIGINT,,,,
"Sexo da pessoa falecida é masculino, Idade em anos ao falecer é 15 a 19 anos",BIGINT,,,,
"Sexo da pessoa falecida é masculino, Idade em anos ao falecer é 20 a 24 anos",BIGINT,,,,
"Sexo da pessoa falecida é masculino, Idade em anos ao falecer é 25 a 29 anos",BIGINT,,,,
"Sexo da pessoa falecida é masculino, Idade em anos ao falecer é 30 a 39 anos",BIGINT,,,,
"Sexo da pessoa falecida é masculino, Idade em anos ao falecer é 40 a 49 anos",BIGINT,,,,
"Sexo da pessoa falecida é masculino, Idade em anos ao falecer é 50 a 59 anos",BIGINT,,,,
"Sexo da pessoa falecida é masculino, Idade em anos ao falecer é 60 a 69 anos",BIGINT,,,,
"Sexo da pessoa falecida é masculino, Idade em anos ao falecer é 70 anos ou mais",BIGINT,,,,
"Sexo da pessoa falecida é feminino, Idade em anos ao falecer é 0 a 4 anos",BIGINT,,,,
"Sexo da pessoa falecida é feminino, Idade em anos ao falecer é 5 a 9 anos",BIGINT,,,,
"Sexo da pessoa falecida é feminino, Idade em anos ao falecer é 10 a 14 anos",BIGINT,,,,
"Sexo da pessoa falecida é feminino, Idade em anos ao falecer é 15 a 19 anos",BIGINT,,,,
"Sexo da pessoa falecida é feminino, Idade em anos ao falecer é 20 a 24 anos",BIGINT,,,,
"Sexo da pessoa falecida é feminino, Idade em anos ao falecer é 25 a 29 anos",BIGINT,,,,
"Sexo da pessoa falecida é feminino, Idade em anos ao falecer é 30 a 39 anos",BIGINT,,,,
"Sexo da pessoa falecida é feminino, Idade em anos ao falecer é 40 a 49 anos",BIGINT,,,,
"Sexo da pessoa falecida é feminino, Idade em anos ao falecer é 50 a 59 anos",BIGINT,,,,
"Sexo da pessoa falecida é feminino, Idade em anos ao falecer é 60 a 69 anos",BIGINT,,,,
"Sexo da pessoa falecida é feminino, Idade em anos ao falecer é 70 anos ou mais",BIGINT,,,,
"Sexo da pessoa falecida é masculino, Morador com 1 ano ou mais ao falecer",BIGINT,,,,
"Sexo da pessoa falecida é masculino, Morador com menos de 1 ano ao falecer",BIGINT,,,,
"Sexo da pessoa falecida é feminino, Morador com 1 ano ou mais ao falecer",BIGINT,,,,
"Sexo da pessoa falecida é feminino, Morador com menos de 1 ano ao falecer",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é branca, Existe pessoa falecida, no período de janeiro de 2019 a julho de 2022, que morava no domicílio",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é branca, Não existe pessoa falecida, no período de janeiro de 2019 a julho de 2022, que morava no domicílio",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é preta, Existe pessoa falecida, no período de janeiro de 2019 a julho de 2022, que morava no domicílio",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é preta, Não existe pessoa falecida, no período de janeiro de 2019 a julho de 2022, que morava no domicílio",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é amarela, Existe pessoa falecida, no período de janeiro de 2019 a julho de 2022, que morava no domicílio",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é amarela, Não existe pessoa falecida, no período de janeiro de 2019 a julho de 2022, que morava no domicílio",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é parda, Existe pessoa falecida, no período de janeiro de 2019 a julho de 2022, que morava no domicílio",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é parda, Não existe pessoa falecida, no período de janeiro de 2019 a julho de 2022, que morava no domicílio",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é indígena, Existe pessoa falecida, no período de janeiro de 2019 a julho de 2022, que morava no domicílio",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é indígena, Não existe pessoa falecida, no período de janeiro de 2019 a julho de 2022, que morava no domicílio",BIGINT,,,,
Mês e ano de falecimento entre janeiro de 2019 a junho de 2019,BIGINT,,,,
Mês e ano de falecimento entre julho de 2019 a dezembro de 2019,BIGINT,,,,
Mês e ano de falecimento entre janeiro de 2020 a junho de 2020,BIGINT,,,,
Mês e ano de falecimento entre julho de 2020 a dezembro de 2020,BIGINT,,,,
Mês e ano de falecimento entre janeiro de 2021 a junho de 2021,BIGINT,,,,
Mês e ano de falecimento entre julho de 2021 a dezembro de 2021,BIGINT,,,,
Mês e ano de falecimento entre janeiro de 2022 a julho de 2022,BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2019 a junho de 2019, Sexo da pessoa falecida é masculino",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2019 a junho de 2019, Sexo da pessoa falecida é feminino",BIGINT,,,,
"Mês e ano de falecimento entre julho de 2019 a dezembro de 2019, Sexo da pessoa falecida é masculino",BIGINT,,,,
"Mês e ano de falecimento entre julho de 2019 a dezembro de 2019, Sexo da pessoa falecida é feminino",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2020 a junho de 2020, Sexo da pessoa falecida é masculino",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2020 a junho de 2020, Sexo da pessoa falecida é feminino",BIGINT,,,,
"Mês e ano de falecimento entre julho de 2020 a dezembro de 2020, Sexo da pessoa falecida é masculino",BIGINT,,,,
"Mês e ano de falecimento entre julho de 2020 a dezembro de 2020, Sexo da pessoa falecida é feminino",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2021 a junho de 2021, Sexo da pessoa falecida é masculino",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2021 a junho de 2021, Sexo da pessoa falecida é feminino",BIGINT,,,,
"Mês e ano de falecimento entre julho de 2021 a dezembro de 2021, Sexo da pessoa falecida é masculino",BIGINT,,,,
"Mês e ano de falecimento entre julho de 2021 a dezembro de 2021, Sexo da pessoa falecida é feminino",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2022 a julho de 2022, Sexo da pessoa falecida é masculino",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2022 a julho de 2022, Sexo da pessoa falecida é feminino",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2019 a dezembro de 2019, Sexo da pessoa falecida é masculino, 0 a 14 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2019 a dezembro de 2019, Sexo da pessoa falecida é masculino, 15 a 29 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2019 a dezembro de 2019, Sexo da pessoa falecida é masculino, 30 a 59 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2019 a dezembro de 2019, Sexo da pessoa falecida é masculino, 60 anos ou mais",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2019 a dezembro de 2019, Sexo da pessoa falecida é feminino, 0 a 14 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2019 a dezembro de 2019, Sexo da pessoa falecida é feminino, 15 a 29 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2019 a dezembro de 2019, Sexo da pessoa falecida é feminino, 30 a 59 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2019 a dezembro de 2019, Sexo da pessoa falecida é feminino, 60 anos ou mais",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2020 a dezembro de 2020, Sexo da pessoa falecida é masculino, 0 a 14 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2020 a dezembro de 2020, Sexo da pessoa falecida é masculino, 15 a 29 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2020 a dezembro de 2020, Sexo da pessoa falecida é masculino, 30 a 59 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2020 a dezembro de 2020, Sexo da pessoa falecida é masculino, 60 anos ou mais",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2020 a dezembro de 2020, Sexo da pessoa falecida é feminino, 0 a 14 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2020 a dezembro de 2020, Sexo da pessoa falecida é feminino, 15 a 29 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2020 a dezembro de 2020, Sexo da pessoa falecida é feminino, 30 a 59 anos",BIGINT,,,,
